TIME,DOX2,DOX2_QC,DEPTH,station
2019-11-26,238.39108376052627,1.0,39.0,CCE1
2019-11-27,235.8079697030041,1.0,39.0,CCE1
2019-11-28,223.48910355975417,1.0,39.0,CCE1
2019-11-29,221.97492766319752,1.0,39.0,CCE1
2019-11-30,232.52684782305144,1.0,39.0,CCE1
2019-12-01,227.27918121436429,1.0,39.0,CCE1
2019-12-02,229.1069813570083,1.0,39.0,CCE1
2019-12-03,222.3767348119161,1.0,39.0,CCE1
2019-12-04,235.68617532099267,1.0,39.0,CCE1
2019-12-05,232.72228628535618,1.0,39.0,CCE1
2019-12-06,223.37711471091086,1.0,39.0,CCE1
2019-12-07,216.55115954530058,1.0,39.0,CCE1
2019-12-08,197.9660416516998,1.0,39.0,CCE1
2019-12-09,201.06898588500715,1.0,39.0,CCE1
2019-12-10,208.04170426195708,1.0,39.0,CCE1
2019-12-11,213.00843366779623,1.0,39.0,CCE1
2019-12-12,236.48410141320178,1.0,39.0,CCE1
2019-12-13,233.4406864137153,1.0,39.0,CCE1
2019-12-14,226.4217210370052,1.0,39.0,CCE1
2019-12-15,226.33607664345973,1.0,39.0,CCE1
2019-12-16,237.248495191403,1.0,39.0,CCE1
2019-12-17,234.29474908705234,1.0,39.0,CCE1
2019-12-18,236.01381738325395,1.0,39.0,CCE1
2019-12-19,241.2422375094766,1.0,39.0,CCE1
2019-12-20,240.9930439528001,1.0,39.0,CCE1
2019-12-21,247.8096664638317,1.0,39.0,CCE1
2019-12-22,254.52141577697327,1.0,39.0,CCE1
2019-12-23,252.40176407865738,1.0,39.0,CCE1
2019-12-24,250.1156722957276,1.0,39.0,CCE1
2019-12-25,245.01283980791996,1.0,39.0,CCE1
2019-12-26,249.31838967595164,1.0,39.0,CCE1
2019-12-27,251.55101382163488,1.0,39.0,CCE1
2019-12-28,252.37804724267093,1.0,39.0,CCE1
2019-12-29,251.64304420128337,1.0,39.0,CCE1
2019-12-30,251.06441686346136,1.0,39.0,CCE1
2019-12-31,252.86398653502604,1.0,39.0,CCE1
2020-01-01,253.30802452753412,1.0,39.0,CCE1
