date,station,oxygen
2015-06-10,CCE2,278.41680908203125
2015-06-11,CCE2,280.16748046875
2015-06-12,CCE2,250.49412536621097
2015-06-13,CCE2,259.9644470214844
2015-06-14,CCE2,278.8663024902344
2015-06-15,CCE2,281.4541015625
2015-06-16,CCE2,251.2869110107422
2015-06-17,CCE2,259.73309326171875
2015-06-18,CCE2,276.7720642089844
2015-06-19,CCE2,279.7144775390625
2015-06-20,CCE2,271.2431640625
2015-06-21,CCE2,259.0269470214844
2015-06-22,CCE2,254.9193572998047
2015-06-23,CCE2,261.9647216796875
2015-06-24,CCE2,253.3425445556641
2015-06-25,CCE2,250.3934326171875
2015-06-26,CCE2,252.5096893310547
2015-06-27,CCE2,228.9053192138672
2015-06-28,CCE2,230.94044494628903
2015-06-29,CCE2,229.087890625
2015-06-30,CCE2,252.4984130859375
2015-07-01,CCE2,250.24920654296875
2015-07-02,CCE2,245.30552673339844
2015-07-03,CCE2,278.90484619140625
2015-07-04,CCE2,256.5817565917969
2015-07-05,CCE2,240.15374755859375
2015-07-06,CCE2,236.239990234375
2015-07-07,CCE2,264.0879211425781
2015-07-08,CCE2,249.3157501220703
2015-07-09,CCE2,253.5225372314453
2015-07-10,CCE2,275.2206115722656
2015-07-11,CCE2,277.85626220703125
2015-07-12,CCE2,275.7666931152344
2015-07-13,CCE2,286.6283874511719
2015-07-14,CCE2,277.95562744140625
2015-07-15,CCE2,253.2060089111328
2015-07-16,CCE2,235.8941192626953
2015-07-17,CCE2,213.62548828125
2015-07-18,CCE2,263.0914611816406
2015-07-19,CCE2,292.8246154785156
2015-07-20,CCE2,269.2509765625
2015-07-21,CCE2,276.1484069824219
2015-07-22,CCE2,270.0218200683594
2015-07-23,CCE2,262.3697204589844
2015-07-24,CCE2,255.4972991943359
2015-07-25,CCE2,260.4841003417969
2015-07-26,CCE2,261.0857849121094
2015-07-27,CCE2,254.93006896972656
2015-07-28,CCE2,259.19512939453125
2015-07-29,CCE2,261.5854797363281
2015-07-30,CCE2,272.47314453125
2015-07-31,CCE2,282.8404846191406
2015-08-01,CCE2,280.5848083496094
2015-08-02,CCE2,267.0185241699219
2015-08-03,CCE2,265.1455383300781
2015-08-04,CCE2,259.2176208496094
2015-08-05,CCE2,268.76824951171875
2015-08-06,CCE2,274.9093322753906
2015-08-07,CCE2,267.533447265625
2015-08-08,CCE2,264.4307556152344
2015-08-09,CCE2,262.2568664550781
2015-08-10,CCE2,249.35333251953125
2015-08-11,CCE2,274.5032043457031
2015-08-12,CCE2,267.2352600097656
2015-08-13,CCE2,277.7244873046875
2015-08-14,CCE2,263.56671142578125
2015-08-15,CCE2,250.60951232910156
2015-08-16,CCE2,248.78570556640625
2015-08-17,CCE2,259.9864501953125
2015-08-18,CCE2,246.65476989746097
2015-08-19,CCE2,224.73866271972656
2015-08-20,CCE2,246.80482482910156
2015-08-21,CCE2,255.42083740234375
2015-08-22,CCE2,265.232666015625
2015-08-23,CCE2,255.5946502685547
2015-08-24,CCE2,269.0217590332031
2015-08-25,CCE2,266.63763427734375
2015-08-26,CCE2,263.3315734863281
2015-08-27,CCE2,265.253173828125
2015-08-28,CCE2,266.3876953125
2015-08-29,CCE2,268.3688049316406
2015-08-30,CCE2,256.5889892578125
2015-08-31,CCE2,253.29925537109375
2015-09-01,CCE2,252.48699951171875
2015-09-02,CCE2,248.4709625244141
2015-09-03,CCE2,249.3309783935547
2015-09-04,CCE2,247.7727508544922
2015-09-05,CCE2,244.4837188720703
2015-09-06,CCE2,245.4530487060547
2015-09-07,CCE2,240.5662384033203
2015-09-08,CCE2,240.1434326171875
2015-09-09,CCE2,240.5325164794922
2015-09-10,CCE2,242.69444274902344
2015-09-11,CCE2,243.3557281494141
2015-09-12,CCE2,253.49253845214844
2015-09-13,CCE2,255.36827087402344
2015-09-14,CCE2,251.7450408935547
2015-09-15,CCE2,243.49322509765625
2015-09-16,CCE2,248.38270568847656
2015-09-17,CCE2,243.15171813964844
2015-09-18,CCE2,238.3134307861328
2015-09-19,CCE2,245.3096466064453
2015-09-20,CCE2,236.25177001953125
2015-09-21,CCE2,240.3933868408203
2015-09-22,CCE2,233.70269775390625
2015-09-23,CCE2,239.84922790527344
2015-09-24,CCE2,245.1951141357422
2015-09-25,CCE2,254.1440887451172
2015-09-26,CCE2,250.70172119140625
2015-09-27,CCE2,256.7771301269531
2015-09-28,CCE2,243.7968292236328
2015-09-29,CCE2,238.2242889404297
2015-09-30,CCE2,235.87550354003903
2015-10-01,CCE2,247.49951171875
2015-10-02,CCE2,245.5080108642578
2015-10-03,CCE2,243.20323181152344
2015-10-04,CCE2,249.04139709472656
2015-10-05,CCE2,246.41224670410156
2015-10-06,CCE2,245.1056671142578
2015-10-07,CCE2,247.35205078125
2015-10-08,CCE2,241.9006195068359
2015-10-09,CCE2,240.58245849609375
2015-10-10,CCE2,243.7745819091797
2015-10-11,CCE2,245.5487518310547
2015-10-12,CCE2,245.4073028564453
2015-10-13,CCE2,239.5906524658203
2015-10-14,CCE2,243.4191436767578
2015-10-15,CCE2,239.778564453125
2015-10-16,CCE2,234.3468017578125
2015-10-17,CCE2,229.3590850830078
2015-10-18,CCE2,231.00770568847656
2015-10-19,CCE2,232.8239593505859
2015-10-20,CCE2,236.3968963623047
